"clinical_scenario","true_hr","hazard_trend","situation","Naive","Adj","PSM","IPTW","SMR"
"Scenario 1: Sicker Switchers, Treatment Helps (True HR = 0.70)","","","","","","","",""
"Sicker_Helps","0.7","Constant","Conventional","1.74 (0.10)","0.78 (0.05)","0.85 (0.07)","0.80 (0.08)","0.85 (0.11)"
"Sicker_Helps","0.7","Constant","SMARTS","1.75 (0.10)","0.75 (0.05)","0.82 (0.06)","0.77 (0.08)","0.82 (0.10)"
"Sicker_Helps","0.7","Increasing","Conventional","2.29 (0.11)","1.06 (0.06)","1.14 (0.07)","1.06 (0.11)","1.15 (0.13)"
"Sicker_Helps","0.7","Increasing","SMARTS","1.74 (0.09)","0.76 (0.05)","0.82 (0.05)","0.78 (0.07)","0.82 (0.07)"
"Sicker_Helps","0.7","Decreasing","Conventional","0.70 (0.05)","0.31 (0.03)","0.36 (0.04)","0.34 (0.05)","0.35 (0.05)"
"Sicker_Helps","0.7","Decreasing","SMARTS","1.61 (0.14)","0.70 (0.07)","0.78 (0.09)","0.73 (0.10)","0.76 (0.13)"
"Scenario 2: Healthier Switchers, Treatment Harms (True HR = 1.50)","","","","","","","",""
"Healthier_Harms","1.5","Constant","Conventional","0.62 (0.04)","1.35 (0.13)","1.30 (0.15)","1.42 (0.23)","1.33 (0.21)"
"Healthier_Harms","1.5","Constant","SMARTS","0.62 (0.04)","1.44 (0.15)","1.38 (0.15)","1.46 (0.23)","1.42 (0.22)"
"Healthier_Harms","1.5","Increasing","Conventional","0.84 (0.05)","1.82 (0.13)","1.70 (0.15)","1.80 (0.19)","1.72 (0.26)"
"Healthier_Harms","1.5","Increasing","SMARTS","0.63 (0.04)","1.43 (0.10)","1.36 (0.10)","1.41 (0.14)","1.37 (0.18)"
"Healthier_Harms","1.5","Decreasing","Conventional","0.26 (0.03)","0.56 (0.08)","0.55 (0.09)","0.61 (0.18)","0.54 (0.11)"
"Healthier_Harms","1.5","Decreasing","SMARTS","0.60 (0.07)","1.41 (0.22)","1.38 (0.24)","1.46 (0.46)","1.40 (0.36)"
